time,ip_address,packets_input,packets_output,packets_dropped
2023-06-01 19:42:05,67.176.52.206,382845,239274,16276
2023-06-01 19:44:05,67.176.52.206,383464,239664,16361
2023-06-01 19:46:05,67.176.52.206,384157,240093,16459
2023-06-01 19:48:04,67.176.52.206,384818,240508,16551
2023-06-01 19:50:05,67.176.52.206,385430,240880,16649
2023-06-01 19:52:04,67.176.52.206,385948,241232,16735
2023-06-01 19:54:05,67.176.52.206,386610,241622,16824
2023-06-01 19:56:05,67.176.52.206,387003,241935,16904
2023-06-01 19:58:05,67.176.52.206,387518,242288,17002
2023-06-01 20:00:05,67.176.52.206,388079,242644,17092
2023-06-01 20:02:05,67.176.52.206,388954,243097,17182
2023-06-01 20:04:05,67.176.52.206,389645,243490,17273
2023-06-01 20:06:04,67.176.52.206,390394,243884,17370
2023-06-01 20:08:05,67.176.52.206,391120,244379,17458
2023-06-01 20:10:04,67.176.52.206,391722,244721,17552
2023-06-01 20:12:05,67.176.52.206,392369,245109,17649
2023-06-01 20:14:05,67.176.52.206,392923,245487,17752
2023-06-01 20:16:05,67.176.52.206,393329,245814,17840
2023-06-01 20:18:05,67.176.52.206,394108,246355,17931
2023-06-01 20:20:04,67.176.52.206,394725,246738,18026
2023-06-01 20:22:05,67.176.52.206,395491,247161,18112
2023-06-01 20:24:04,67.176.52.206,396149,247533,18197
2023-06-01 20:26:05,67.176.52.206,396656,247884,18283
2023-06-01 20:28:04,67.176.52.206,397239,248275,18373
2023-06-01 20:30:05,67.176.52.206,398072,248687,18459
2023-06-01 20:32:05,67.176.52.206,398610,249075,18545
2023-06-01 20:34:05,67.176.52.206,398998,249389,18644
2023-06-01 20:36:05,67.176.52.206,399558,249728,18740
2023-06-01 20:38:04,67.176.52.206,400866,250221,18821
2023-06-01 20:40:05,67.176.52.206,401325,250576,18909
2023-06-01 20:42:04,67.176.52.206,402361,251299,19000
2023-06-01 20:44:05,67.176.52.206,402897,251722,19079
2023-06-01 20:46:04,67.176.52.206,403869,252211,19168
2023-06-01 20:48:05,67.176.52.206,404465,252733,19265
